26 February 2023   7:54:05.072 PM
 
FEYNMAN_KAC_3D():
  FORTRAN90 version.
 
  Program parameters:
 
  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.
 
  Each solution will be estimated by computing    10000 trajectories
  from the point to the boundary.
 
    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1
 
  The ellipsoid parameters A, B, C are set to:
 
    A =    3.00000    
    B =    2.00000    
    C =    1.00000    
  Stepsize H =   0.100000E-02
 
  X coordinate marked by   31 points
  Y coordinate marked by   21 points
  Z coordinate marked by   11 points
 
     X            Y             Z          W Approx      W Exact          Error      Ave Steps
 
    -3.000        -2.000        -1.000         1.000         1.000         0.000             0
    -3.000        -2.000       -0.8000         1.000         1.000         0.000             0
    -3.000        -2.000       -0.6000         1.000         1.000         0.000             0
    -3.000        -2.000       -0.4000         1.000         1.000         0.000             0
    -3.000        -2.000       -0.2000         1.000         1.000         0.000             0
    -3.000        -2.000         0.000         1.000         1.000         0.000             0
    -3.000        -2.000        0.2000         1.000         1.000         0.000             0
    -3.000        -2.000        0.4000         1.000         1.000         0.000             0
    -3.000        -2.000        0.6000         1.000         1.000         0.000             0
    -3.000        -2.000        0.8000         1.000         1.000         0.000             0
    -3.000        -2.000         1.000         1.000         1.000         0.000             0
    -3.000        -1.800        -1.000         1.000         1.000         0.000             0
    -3.000        -1.800       -0.8000         1.000         1.000         0.000             0
    -3.000        -1.800       -0.6000         1.000         1.000         0.000             0
    -3.000        -1.800       -0.4000         1.000         1.000         0.000             0
    -3.000        -1.800       -0.2000         1.000         1.000         0.000             0
    -3.000        -1.800         0.000         1.000         1.000         0.000             0
    -3.000        -1.800        0.2000         1.000         1.000         0.000             0
    -3.000        -1.800        0.4000         1.000         1.000         0.000             0
    -3.000        -1.800        0.6000         1.000         1.000         0.000             0
    -3.000        -1.800        0.8000         1.000         1.000         0.000             0
    -3.000        -1.800         1.000         1.000         1.000         0.000             0
    -3.000        -1.600        -1.000         1.000         1.000         0.000             0
    -3.000        -1.600       -0.8000         1.000         1.000         0.000             0
    -3.000        -1.600       -0.6000         1.000         1.000         0.000             0
    -3.000        -1.600       -0.4000         1.000         1.000         0.000             0
    -3.000        -1.600       -0.2000         1.000         1.000         0.000             0
    -3.000        -1.600         0.000         1.000         1.000         0.000             0
    -3.000        -1.600        0.2000         1.000         1.000         0.000             0
    -3.000        -1.600        0.4000         1.000         1.000         0.000             0
    -3.000        -1.600        0.6000         1.000         1.000         0.000             0
    -3.000        -1.600        0.8000         1.000         1.000         0.000             0
    -3.000        -1.600         1.000         1.000         1.000         0.000             0
    -3.000        -1.400        -1.000         1.000         1.000         0.000             0
    -3.000        -1.400       -0.8000         1.000         1.000         0.000             0
    -3.000        -1.400       -0.6000         1.000         1.000         0.000             0
    -3.000        -1.400       -0.4000         1.000         1.000         0.000             0
    -3.000        -1.400       -0.2000         1.000         1.000         0.000             0
    -3.000        -1.400         0.000         1.000         1.000         0.000             0
    -3.000        -1.400        0.2000         1.000         1.000         0.000             0
    -3.000        -1.400        0.4000         1.000         1.000         0.000             0
    -3.000        -1.400        0.6000         1.000         1.000         0.000             0
    -3.000        -1.400        0.8000         1.000         1.000         0.000             0
    -3.000        -1.400         1.000         1.000         1.000         0.000             0
    -3.000        -1.200        -1.000         1.000         1.000         0.000             0
    -3.000        -1.200       -0.8000         1.000         1.000         0.000             0
    -3.000        -1.200       -0.6000         1.000         1.000         0.000             0
    -3.000        -1.200       -0.4000         1.000         1.000         0.000             0
    -3.000        -1.200       -0.2000         1.000         1.000         0.000             0
    -3.000        -1.200         0.000         1.000         1.000         0.000             0
    -3.000        -1.200        0.2000         1.000         1.000         0.000             0
